ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-04-19,6.967250242195847,6.928536735866158,9.041463832002737,6.967250242195847,6.967250242195847,1.0446924532478414,1.0446924532478414,1.0446924532478414,0.13756427999967816,0.13756427999967816,0.13756427999967816,0.9071281732481634,0.9071281732481634,0.9071281732481634,0.0,0.0,0.0,8.01194269544369
2018-04-20,6.96764411514901,6.98931690464663,9.032403545015004,6.96764411514901,6.96764411514901,1.0325528515385425,1.0325528515385425,1.0325528515385425,0.13675406878472526,0.13675406878472526,0.13675406878472526,0.8957987827538172,0.8957987827538172,0.8957987827538172,0.0,0.0,0.0,8.000196966687552
2018-04-23,6.968825734008498,6.940399864812575,8.921070478795876,6.968825734008498,6.968825734008498,0.956647751541287,0.956647751541287,0.956647751541287,0.10754937908469585,0.10754937908469585,0.10754937908469585,0.8490983724565913,0.8490983724565913,0.8490983724565913,0.0,0.0,0.0,7.9254734855497855
2018-04-24,6.96921960696166,6.852625946066706,8.913270210172993,6.96921960696166,6.96921960696166,0.9286702105565288,0.9286702105565288,0.9286702105565288,0.09808678147181522,0.09808678147181522,0.09808678147181522,0.8305834290847136,0.8305834290847136,0.8305834290847136,0.0,0.0,0.0,7.897889817518189
2018-04-25,6.969613479914823,6.842269841586314,8.925645018714775,6.969613479914823,6.969613479914823,0.9419067782742716,0.9419067782742716,0.9419067782742716,0.1306351233605486,0.1306351233605486,0.1306351233605486,0.811271654913723,0.811271654913723,0.811271654913723,0.0,0.0,0.0,7.911520258189094
2018-04-26,6.970007352867985,6.908067735900684,8.916506520040949,6.970007352867985,6.970007352867985,0.9291325489884755,0.9291325489884755,0.9291325489884755,0.13756427999967602,0.13756427999967602,0.13756427999967602,0.7915682689887995,0.7915682689887995,0.7915682689887995,0.0,0.0,0.0,7.8991399018564605
2018-04-27,6.970401225821148,6.877894845918935,8.877906296472638,6.970401225821148,6.970401225821148,0.9086183456141942,0.9086183456141942,0.9086183456141942,0.13675406878533997,0.13675406878533997,0.13675406878533997,0.7718642768288542,0.7718642768288542,0.7718642768288542,0.0,0.0,0.0,7.879019571435342
2018-04-28,6.970795098774311,6.642700224524523,8.739629275879404,6.970795098774311,6.970795098774311,0.6925192635365465,0.6925192635365465,0.6925192635365465,-0.060008230522475725,-0.060008230522475725,-0.060008230522475725,0.7525274940590222,0.7525274940590222,0.7525274940590222,0.0,0.0,0.0,7.6633143623108575
2018-05-03,6.972764463540124,6.759601033608748,8.770340378856309,6.972764463540124,6.972764463540124,0.8092168191944621,0.8092168191944621,0.8092168191944621,0.1375642800000602,0.1375642800000602,0.1375642800000602,0.6716525391944019,0.6716525391944019,0.6716525391944019,0.0,0.0,0.0,7.781981282734586
2018-05-04,6.973158336493286,6.7012116557176995,8.83644483275998,6.973158336493286,6.973158336493286,0.7967961192136617,0.7967961192136617,0.7967961192136617,0.13675406878500646,0.13675406878500646,0.13675406878500646,0.6600420504286553,0.6600420504286553,0.6600420504286553,0.0,0.0,0.0,7.769954455706948
