ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-03-15,4.37029049830061,3.517406407179836,5.508658356993418,4.37029049830061,4.37029049830061,0.1193381391643327,0.1193381391643327,0.1193381391643327,-0.013357082955348383,-0.013357082955348383,-0.013357082955348383,0.13269522211968107,0.13269522211968107,0.13269522211968107,0.0,0.0,0.0,4.489628637464943
2021-03-16,4.383087825811344,3.413346023762897,5.492189196112537,4.383087825811344,4.383087825811344,0.10503867171320115,0.10503867171320115,0.10503867171320115,-0.018621354115782807,-0.018621354115782807,-0.018621354115782807,0.12366002582898396,0.12366002582898396,0.12366002582898396,0.0,0.0,0.0,4.488126497524545
2021-03-16,4.383087825811344,3.4338170579373575,5.498058128940102,4.383087825811344,4.383087825811344,0.10503867171320115,0.10503867171320115,0.10503867171320115,-0.018621354115782807,-0.018621354115782807,-0.018621354115782807,0.12366002582898396,0.12366002582898396,0.12366002582898396,0.0,0.0,0.0,4.488126497524545
2021-03-17,4.395885153322078,3.555626508787625,5.497962187961865,4.395885153322078,4.395885153322078,0.121206091251054,0.121206091251054,0.121206091251054,0.004967824686393681,0.004967824686393681,0.004967824686393681,0.11623826656466034,0.11623826656466034,0.11623826656466034,0.0,0.0,0.0,4.517091244573132
2021-03-17,4.395885153322078,3.5532549644715363,5.533646523127895,4.395885153322078,4.395885153322078,0.121206091251054,0.121206091251054,0.121206091251054,0.004967824686393681,0.004967824686393681,0.004967824686393681,0.11623826656466034,0.11623826656466034,0.11623826656466034,0.0,0.0,0.0,4.517091244573132
2021-03-18,4.4086824808328124,3.5342555802354303,5.546381109768804,4.4086824808328124,4.4086824808328124,0.12086005026674733,0.12086005026674733,0.12086005026674733,0.01028580000010598,0.01028580000010598,0.01028580000010598,0.11057425026664136,0.11057425026664136,0.11057425026664136,0.0,0.0,0.0,4.52954253109956
2021-03-18,4.4086824808328124,3.438453431620477,5.56385961949123,4.4086824808328124,4.4086824808328124,0.12086005026674733,0.12086005026674733,0.12086005026674733,0.01028580000010598,0.01028580000010598,0.01028580000010598,0.11057425026664136,0.11057425026664136,0.11057425026664136,0.0,0.0,0.0,4.52954253109956
2021-03-19,4.421479808343551,3.534037706377964,5.4658710568433575,4.421479808343551,4.421479808343551,0.10314623131581703,0.10314623131581703,0.10314623131581703,-0.003635225751273563,-0.003635225751273563,-0.003635225751273563,0.10678145706709058,0.10678145706709058,0.10678145706709058,0.0,0.0,0.0,4.524626039659368
2021-03-19,4.421479808343551,3.493537895637002,5.577346630748443,4.421479808343551,4.421479808343551,0.10314623131581703,0.10314623131581703,0.10314623131581703,-0.003635225751273563,-0.003635225751273563,-0.003635225751273563,0.10678145706709058,0.10678145706709058,0.10678145706709058,0.0,0.0,0.0,4.524626039659368
2021-03-22,4.459871790875753,3.4802418103087756,5.591918017321794,4.459871790875753,4.459871790875753,0.09389290974575279,0.09389290974575279,0.09389290974575279,-0.01335708295580648,-0.01335708295580648,-0.01335708295580648,0.10724999270155929,0.10724999270155929,0.10724999270155929,0.0,0.0,0.0,4.553764700621506
2021-03-22,4.459871790875753,3.4885016185222972,5.5456889073202245,4.459871790875753,4.459871790875753,0.09389290974575279,0.09389290974575279,0.09389290974575279,-0.01335708295580648,-0.01335708295580648,-0.01335708295580648,0.10724999270155929,0.10724999270155929,0.10724999270155929,0.0,0.0,0.0,4.553764700621506
2021-03-23,4.4726691183864915,3.5613675153473645,5.565185442551475,4.4726691183864915,4.4726691183864915,0.09275818660489055,0.09275818660489055,0.09275818660489055,-0.018621354115662826,-0.018621354115662826,-0.018621354115662826,0.11137954072055338,0.11137954072055338,0.11137954072055338,0.0,0.0,0.0,4.565427304991382
2021-03-23,4.4726691183864915,3.5317106024341935,5.528761296711114,4.4726691183864915,4.4726691183864915,0.09275818660489055,0.09275818660489055,0.09275818660489055,-0.018621354115662826,-0.018621354115662826,-0.018621354115662826,0.11137954072055338,0.11137954072055338,0.11137954072055338,0.0,0.0,0.0,4.565427304991382
